name2	#name
CNIH4	NM_001277200
CNIH4	NR_102347
CNIH4	NM_001277197
CNIH4	NM_001277198
CNIH4	NM_001277199
MIR4742	NR_039896
DNAH14	NM_001367481
DNAH14	NM_144989
DNAH14	NM_001145154
DNAH14	NM_001349911
DNAH14	NM_001349912
LBR	NM_002296
LBR	NM_194442
SRP9	NM_003133
SRP9	NM_001130440
PYCR2	NM_001271681
MIR6741	NR_106799
TMEM63A	NM_014698
PYCR2	NM_013328
LEFTY2	NM_003240
LEFTY1	NM_020997
LEFTY2	NM_001172425
H3-3A	NM_002107
LINC01703	NR_146920
H3P6	NR_002315
SDE2	NM_152608
ACBD3-AS1	NR_146443
MIXL1	NM_031944
ACBD3	NM_022735
MIXL1	NM_001282402
LIN9	NM_001366241
LIN9	NM_001366237
LIN9	NM_001270409
LIN9	NM_173083
LIN9	NM_001270410
LIN9	NM_001366239
LIN9	NM_001366245
LIN9	NM_001366238
LIN9	NM_001366240
STUM	NM_001003665
ITPKB-IT1	NR_103784
ITPKB	NM_002221
COQ8A	NM_020247
ZNF678	NM_001367910
ZNF678	NM_001367911
ZNF678	NM_178549
ZNF678	NM_001367909
ZNF847P	NR_036753
SNAP47	NM_053052
SNAP47	NM_001323930
JMJD4	NM_001161465
SNAP47	NR_136654
SNAP47	NM_001323932
JMJD4	NM_023007
SNAP47	NM_001323931
SNAP47	NM_001323935
SNAP47	NM_001323934
SNAP47	NM_001323933
SNAP47	NR_136657
SNAP47	NR_136656
SNAP47	NR_136655
PRSS38	NM_001374657
PRSS38	NM_183062
MIR5008	NR_049806
LOC107985355	NR_153418
WNT3A	NM_033131
C1orf35	NR_130975
MIR3620	NR_037415
IBA57-DT	NR_103539
IBA57-DT	NR_103540
ARF1	NM_001658
MRPL55	NM_181456
MRPL55	NM_181455
MRPL55	NM_181454
ARF1	NM_001024227
ARF1	NM_001024226
C1orf35	NM_024319
MRPL55	NM_181465
MRPL55	NM_181464
MRPL55	NM_001321284
GUK1	NM_001242840
IBA57	NM_001010867
IBA57	NM_001310327
MRPL55	NM_181462
MRPL55	NM_181463
GUK1	NM_001159390
GUK1	NM_000858
GUK1	NM_001242839
GUK1	NM_001159391
MRPL55	NM_181441
LINC02809	NR_158166
ARF1	NM_001024228
GJC2	NM_020435
OBSCN-AS1	NR_073155
OBSCN-AS1	NR_073154
MIR6742	NR_106800
H3-4	NM_003493
TRIM17	NM_001134855
H2AW	NM_033445
TRIM17	NM_016102
TRIM17	NM_001024940
TRIM11	NM_145214
MIR4666A	NR_039812
BTNL10	NM_001287262
RNF187	NM_001010858
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RNA5S9	NR_023371
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
DUSP5P1	NR_002834
RNA5S1	NR_023363
RNA5S2	NR_023364
RNA5S3	NR_023365
RNA5S4	NR_023366
RNA5S5	NR_023367
RNA5S6	NR_023368
RNA5S7	NR_023369
RNA5S8	NR_023370
RNA5S10	NR_023372
RNA5S11	NR_023373
RNA5S12	NR_023374
RNA5S13	NR_023375
RNA5S14	NR_023376
RNA5S15	NR_023377
RNA5S16	NR_023378
RNA5S17	NR_023379
RHOU	NM_021205
MIR4454	NR_039659
LOC105373159	NR_149312
LOC105373159	NR_149313
CCSAP	NM_145257
RAB4A	NM_001271998
RAB4A	NM_004578
RAB4A	NR_073545
ACTA1	NM_001100
LOC101927478	NR_110630
ABCB10	NM_012089
TAF5L	NM_014409
TAF5L	NM_001025247
LINC01682	NR_146476
LINC01682	NR_146473
LINC01682	NR_146474
LINC01682	NR_146475
LINC01736	NR_135116
GALNT2	NR_120373
LINC01737	NR_146479
CAPN9	NM_016452
AGT	NM_000029
CAPN9	NM_006615
CAPN9	NM_001319676
LOC101927604	NR_110681
C1orf198	NM_032800
C1orf198	NM_001136494
C1orf198	NM_001136495
ARV1	NM_001346992
FAM89A	NM_198552
ARV1	NM_022786
ARV1	NR_144538
MIR1182	NR_031593
LOC149373	NM_001256615
C1orf131	NM_001300830
GNPAT	NM_014236
EXOC8	NM_175876
GNPAT	NM_001316350
C1orf131	NM_152379
EGLN1	NM_001377260
EGLN1	NM_001377261
EGLN1	NM_022051
SNRPD2P2	NR_033826
TSNAX	NM_005999
DISC1	NM_001164550
DISC1	NM_001164554
DISC1	NM_001164553
DISC1	NM_001164552
DISC1	NM_001012958
DISC2	NR_002227
DISC1-IT1	NR_126441
LINC01745	NR_146922
LINC01744	NR_110683
MAP10	NM_019090
NTPCR	NR_138027
NTPCR	NM_001329453
NTPCR	NR_138028
NTPCR	NR_138026
NTPCR	NM_032324
NTPCR	NM_001329452
NTPCR	NR_138025
NTPCR	NR_138024
PCNX2	NM_001328607
MAP3K21	NM_032435
MIR4427	NR_039625
KCNK1	NM_002245
MIR4671	NR_039818
COA6-AS1	NR_125962
COA6-AS1	NR_125961
TARBP1	NM_005646
COA6	NM_001301733
COA6	NM_001206641
COA6	NM_001012985
LINC01354	NR_038426
IRF2BP2	NM_001077397
IRF2BP2	NM_182972
LOC101927787	NR_125944
LINC01132	NR_038856
LINC00184	NR_033927
PP2672	NR_148962
LOC101927851	NR_125945
SNORA14B	NR_002956
LINC01348	NR_027454
TOMM20	NM_014765
MIR4753	NR_039908
GGPS1	NM_001037277
GGPS1	NM_004837
GGPS1	NM_001037278
GGPS1	NM_001371477
GGPS1	NM_001371478
B3GALNT2	NM_152490
B3GALNT2	NM_001277155
GNG4	NM_001098722
GNG4	NM_001098721
GNG4	NM_004485
MIR1537	NR_031718
LYST	NR_102436
ERO1B	NM_019891
LGALS8	NM_201545
LGALS8-AS1	NR_034040
LGALS8	NM_201543
LGALS8	NM_201544
LGALS8	NM_006499
MT1HL1	NM_001276687
MIR4428	NR_039626
ZP4	NM_021186
LINC01139	NR_015407
CHRM3-AS2	NR_103776
CHRM3-AS1	NR_046582
RPS7P5	NR_036695
MIR3123	NR_036069
FH	NM_000143
OPN3	NM_014322
CHML	NM_001821
EXO1	NM_003686
EXO1	NM_001319224
EXO1	NM_130398
EXO1	NM_006027
MAP1LC3C	NM_001004343
LINC01347	NR_029401
MIR4677	NR_039824
C1orf100	NM_001276348
C1orf100	NM_001276349
C1orf100	NM_001012970
DESI2	NM_016076
DESI2	NR_123735
DESI2	NM_001297746
DESI2	NR_123736
SNORA100	NR_132782
LOC101928068	NR_111907
HNRNPU	NM_004501
HNRNPU	NM_031844
KIF26B-AS1	NR_151721
LINC01743	NR_040002
CNST	NM_152609
CNST	NM_001139459
LINC01341	NR_015422
SCCPDH	NM_016002
AHCTF1	NM_001323342
AHCTF1	NR_136586
AHCTF1	NM_001323343
AHCTF1	NM_015446
ZNF695	NM_020394
ZNF695	NM_001204221
ZNF695	NR_037892
ZNF124	NM_001243740
ZNF669	NM_024804
FLJ39095	NR_147502
ZNF124	NM_001297568
ZNF124	NM_001297567
ZNF124	NM_001297569
C1orf229	NM_207401
ZNF669	NM_001142572
ZNF124	NM_003431
MIR3916	NR_037480
VN1R5	NR_160309
ZNF496	NM_001329733
ZNF496	NM_032752
VN1R5	NM_173858
NLRP3	NM_001243133
NLRP3	NM_001127461
NLRP3	NM_004895
NLRP3	NM_001127462
NLRP3	NM_001079821
OR2B11	NM_001004492
NLRP3	NM_183395
GCSAML	NM_001281853
GCSAML	NM_001281837
GCSAML-AS1	NR_027309
OR2W5	NM_001004698
GCSAML	NM_001281834
GCSAML	NM_001281835
GCSAML	NM_001281836
GCSAML	NM_001281838
GCSAML	NM_145278
OR2G2	NM_001001915
OR2C3	NM_198074
OR13G1	NM_001005487
OR2G3	NM_001001914
OR6F1	NM_001005286
OR1C1	NM_012353
OR11L1	NM_001001959
OR14K1	NM_001004732
OR14A16	NM_001001966
OR2W3	NM_001001957
OR2L8	NM_001001963
TRIM58	NM_015431
OR2T8	NM_001005522
OR2AJ1	NM_001355235
OR2AK2	NM_001004491
OR2L1P	NR_002145
OR2L5	NM_001258284
OR2L2	NM_001004686
OR2L3	NM_001004687
OR2M1P	NR_002141
OR2M3	NM_001004689
OR2M4	NM_017504
OR2M5	NM_001004690
OR2M2	NM_001004688
OR2T12	NM_001004692
OR2T33	NM_001004695
OR2M7	NM_001004691
OR14C36	NM_001001918
OR2T4	NM_001004696
OR2T2	NM_001004136
OR2T6	NM_001005471
OR2T1	NM_030904
OR2T5	NM_001004697
OR2T3	NM_001005495
OR2T7	NM_001355223
OR2T10	NM_001004693
OR2T35	NM_001001827
OR2G6	NM_001013355
OR2T5	NM_001004697
OR2T34	NM_001001821
OR2T29	NM_001004694
OR2T11	NM_001001964
OR2T27	NM_001001824
LYPD8	NM_001085474
LYPD9P	NR_125950
LYPD8	NM_001291283
OR14I1	NM_001004734
SH3BP5L	NM_001322463
MIR3124	NR_036070
ZNF692	NM_001193328
SH3BP5L	NM_001322464
ZNF692	NM_001350073
ZNF672	NM_024836
ZNF692	NM_017865
ZNF692	NM_001136036
SH3BP5L	NM_030645
ZNF692	NM_001350072
SH3BP5L	NM_001322462
PGBD2	NM_001017434
PGBD2	NM_170725
FLACC1	NR_110620
FLACC1	NM_001127391
FLACC1	NM_001289993
MGAT5	NM_001371457
LINC01828	NR_110564
FLACC1	NM_139163
NRXN1	NM_001330093
RASGRP3	NM_001349976
RASGRP3	NM_001349975
NRXN1	NM_001330096
POMC	NM_001319204
RASGRP3	NM_001349977
NRXN1	NM_001135659
RASGRP3	NM_001139488
NRXN1	NM_001330085
NRXN1	NM_001330084
NRXN1	NM_001330086
NRXN1	NM_001330087
NRXN1	NM_001330078
LINC01122	NR_033873
POMC	NM_001319205
RASGRP3	NM_170672
NRXN1	NM_001330088
RASGRP3	NM_001349980
NRXN1	NM_138735
NRXN1	NM_001330077
NRXN1	NM_001330092
NRXN1	NM_001330091
POMC	NM_000939
RASGRP3	NM_001349978
NRXN1	NM_001330094
RASGRP3	NM_001349981
NRXN1	NM_001330082
NRXN1	NM_001330083
RASGRP3	NM_015376
NRXN1	NM_001330097
NRXN1	NM_004801
POMC	NM_001035256
NRXN1	NM_001330095
C2orf91	NR_161189
RASGRP3	NM_001349979
EVA1A	NM_001369525
EVA1A	NM_001369524
EVA1A	NM_032181
EVA1A	NM_001135032
BAZ2B	NM_001289975
BAZ2B	NM_001329857
HOXD3	NM_006898
BAZ2B	NM_013450
BAZ2B	NM_001329858
MAP2	NM_001039538
MAP2	NM_001363910
MAP2	NM_001375474
MAP2	NM_001375493
MAP2	NM_001375495
MAP2	NM_001375496
MAP2	NM_001375497
MAP2	NM_001375498
MAP2	NM_001375499
MAP2	NM_001375501
MAP2	NM_001375502
MAP2	NM_001375503
MAP2	NM_001375504
MAP2	NM_001375505
MAP2	NM_001375506
MAP2	NM_001375507
MAP2	NM_001375508
MAP2	NM_001375583
MAP2	NM_001363913
MAP2	NM_001375509
MAP2	NM_001375510
MAP2	NM_001375526
MAP2	NM_001375527
MAP2	NM_001375528
MAP2	NM_001375529
MAP2	NM_001363911
MAP2	NM_001375530
MAP2	NM_001375531
MAP2	NM_001375532
MAP2	NM_001375533
MAP2	NM_001375534
MAP2	NM_001375535
MAP2	NM_001375536
MAP2	NM_001375537
MAP2	NM_001375538
MAP2	NM_001375539
MAP2	NM_001375540
MAP2	NM_001375541
MAP2	NM_001375542
MAP2	NM_001375543
MAP2	NM_001375544
MAP2	NM_001375545
MAP2	NM_001375546
MAP2	NM_001375548
MAP2	NM_002374
MAP2	NM_031845
MAP2	NM_031847
MAP2	NM_001375551
MAP2	NM_001375552
MAP2	NM_001375553
MAP2	NM_001375554
MAP2	NM_001375555
MAP2	NM_001375556
MAP2	NM_001375557
MAP2	NM_001375558
MAP2	NM_001375559
MAP2	NR_164694
MAP2	NR_164695
MAP2	NR_164696
MAP2	NR_164697
MAP2	NR_164698
MAP2	NR_164699
MYT1L	NM_001329849
MYT1L	NM_001329852
SNTG2	NM_018968
MYT1L	NM_001329846
MYT1L	NM_001303052
MYT1L	NM_001329851
MYT1L	NM_015025
MYT1L	NM_001329844
MYT1L	NM_001329848
MYT1L	NM_001329847
MYT1L	NM_001329845
GREB1	NM_014668
CPSF3	NM_001321834
CPSF3	NM_001321836
CPSF3	NM_001321835
CPSF3	NM_016207
CPSF3	NM_001321833
FAM228B	NM_001291328
WDR35	NM_001006657
FAM228B	NR_111929
WDR35	NM_020779
PFN4	NM_199346
BABAM2	NM_001329114
SLC30A3	NM_001318950
SLC30A3	NM_003459
BABAM2	NM_001329113
BABAM2	NM_001329112
SLC30A3	NM_001318951
HADHA	NM_000182
SLC30A3	NM_001318949
BABAM2	NM_199192
BABAM2	NM_199191
BIRC6	NM_016252
BABAM2	NR_137440
BABAM2	NR_137439
BABAM2	NM_199194
ALK	NM_004304
BABAM2	NM_199193
BABAM2	NR_137438
BABAM2	NR_137437
BABAM2	NM_001261840
BABAM2	NM_001329115
BABAM2	NM_004899
VIT	NM_001177970
VIT	NM_001177972
VIT	NM_001177971
VIT	NM_053276
VIT	NM_001177969
VIT	NM_001328661
PRKCE	NM_005400
PPP4R3B	NM_001282850
PPP4R3B	NM_001122964
LOC730100	NR_135237
SPTBN1	NM_003128
PPP4R3B	NM_020463
EHBP1	NM_001354221
EHBP1	NM_001354219
VPS54	NM_016516
SLC1A4	NM_001348406
SLC1A4	NM_001348407
EHBP1	NM_015252
EHBP1	NM_001142614
EHBP1	NM_001354218
EHBP1	NM_001354220
EHBP1	NM_001354217
EHBP1	NM_001354216
SLC1A4	NM_003038
EHBP1	NM_001354215
EHBP1	NM_001354214
SLC1A4	NM_001193493
EHBP1	NM_001142615
EHBP1	NM_001354222
EHBP1	NM_001354212
EHBP1	NM_001354213
VPS54	NM_001005739
EHBP1	NM_001142616
EXOC6B	NM_001321730
EXOC6B	NM_001321729
EXOC6B	NM_001321734
EXOC6B	NM_001321731
WDR92	NM_001256476
ANTXR1	NM_032208
ALMS1	NM_015120
EXOC6B	NM_001321733
WDR92	NR_046234
WDR92	NM_138458
EXOC6B	NR_135774
EXOC6B	NR_135773
EXOC6B	NM_015189
CTNNA2	NM_001282597
CTNNA2	NM_001282598
CTNNA2	NM_001164883
CTNNA2	NM_004389
ANAPC1P2	NR_026846
SMYD1	NM_198274
SMYD1	NM_001330364
INPP4A	NM_001566
INPP4A	NM_001351427
ANKRD36B	NM_025190
INPP4A	NM_001351429
INPP4A	NM_001351428
AFF3	NM_002285
INPP4A	NM_001351424
INPP4A	NM_001351426
INPP4A	NM_001351425
INPP4A	NM_004027
INPP4A	NM_001134224
INPP4A	NM_001134225
AFF3	NM_001025108
POU3F3	NM_006236
SLC5A7	NM_021815
MAP4K4	NM_001242560
MAP4K4	NM_004834
SLC5A7	NM_001305007
MAP4K4	NM_145686
SLC5A7	NM_001305005
SLC5A7	NM_001305006
TMEM182	NM_001321346
TMEM182	NM_001321345
TMEM182	NM_001321344
TMEM182	NM_001321343
MAP4K4	NM_145687
MAP4K4	NM_001242559
DPP10	NM_001004360
BCL2L11	NM_138623
DPP10	NM_001321905
BCL2L11	NM_138627
BCL2L11	NM_138626
BCL2L11	NM_138625
BCL2L11	NM_138624
PAX8	NM_013992
DPP10	NM_001178034
BCL2L11	NM_006538
DPP10	NM_001321914
DPP10	NM_001321910
DPP10	NM_001321907
BCL2L11	NM_001204106
DPP10	NM_001321908
DPP10	NM_001321909
PAX8	NM_003466
PAX8	NM_013952
DPP10	NM_001178036
DPP10	NM_001321906
BCL2L11	NM_001204112
PAX8	NM_013953
DPP10	NM_001321911
BCL2L11	NM_001204111
BCL2L11	NM_001204110
DPP10	NM_001178037
DPP10	NM_001321912
BCL2L11	NM_001204109
BCL2L11	NM_001204108
MALL	NM_001371560
PAX8-AS1	NR_015377
BCL2L11	NM_001204107
MALL	NM_001371559
BCL2L11	NM_138621
BCL2L11	NM_138622
BCL2L11	NM_207003
MALL	NM_005434
DPP10	NM_020868
CLASP1	NM_001142274
CLASP1	NM_001142273
CLASP1	NM_001207051
CLASP1	NM_015282
CNTNAP5	NM_001367498
CNTNAP5	NM_130773
CLASP1	NM_001378003
CLASP1	NM_001378004
CLASP1	NM_001378005
FAM168B	NM_001321747
FAM168B	NM_001321748
NCKAP5	NM_207363
FAM168B	NM_001321745
FAM168B	NM_001321744
FAM168B	NM_001321743
FAM168B	NM_001009993
NCKAP5	NM_207481
FAM168B	NM_001321746
LRP1B	NM_018557
ZRANB3	NM_032143
ZRANB3	NM_001286568
ZRANB3	NM_001286569
THSD7B	NM_001316349
ACVR2A	NM_001616
ACVR2A	NM_001278580
ACVR2A	NM_001278579
TEX41	NR_033870
KIF5C	NM_004522
ARHGAP15	NM_018460
CCDC148	NM_138803
CACNB4	NM_001145798
GALNT13	NM_001376401
GALNT5	NM_001329868
GALNT13	NM_001376394
GALNT13	NM_001376402
CACNB4	NM_000726
CACNB4	NM_001005746
GALNT13	NM_001376405
LINC01876	NR_110249
LINC01876	NR_110250
CCDC148	NM_001301684
GALNT13	NM_001376392
GALNT5	NM_014568
GALNT13	NM_001376398
GALNT13	NM_052917
CACNB4	NM_001330113
GALNT13	NM_001376400
GALNT13	NM_001301627
GALNT13	NM_001376403
GALNT13	NM_001376404
RBMS1	NM_016836
CSRNP3	NM_001172173
CSRNP3	NM_024969
KCNH7	NM_033272
RBMS1	NM_002897
KCNH7	NM_173162
ATF2	NM_001256090
ATF2	NM_001880
NOSTRIN	NM_001171631
NOSTRIN	NM_001171632
NOSTRIN	NM_052946
RAPGEF4	NM_007023
ATF2	NM_001256091
HAT1	NR_027862
ATF2	NM_001256092
ATF2	NM_001256093
NOSTRIN	NM_001039724
HAT1	NM_003642
UBR3	NM_172070
ATF2	NR_045769
ATF2	NR_045768
ATF2	NR_045770
ATF2	NR_045772
ATF2	NR_045771
ATF2	NR_045774
ATF2	NR_045773
RAPGEF4	NM_001375864
RAPGEF4	NM_001375865
RAPGEF4	NM_001375866
RAPGEF4	NM_001375867
RAPGEF4	NM_001375868
RAPGEF4	NM_001375869
RAPGEF4	NM_001375870
RAPGEF4	NM_001375871
RAPGEF4	NM_001375872
RAPGEF4	NM_001375873
RAPGEF4	NM_001375874
RAPGEF4	NM_001100397
RAPGEF4	NM_001282899
RAPGEF4	NM_001282900
RAPGEF4	NM_001282901
RAPGEF4	NR_164740
RAPGEF4	NR_164739
RAPGEF4	NR_164741
PDE1A	NM_001258312
OSBPL6	NM_001201481
OSBPL6	NM_032523
PDE1A	NM_001003683
OSBPL6	NM_001201482
OSBPL6	NM_001201480
PDE1A	NM_005019
PMS1	NM_000534
ITGAV	NM_001145000
PMS1	NM_001128144
PMS1	NM_001128143
PMS1	NM_001321044
PMS1	NR_110332
PMS1	NM_001289409
ITGAV	NM_001144999
PMS1	NM_001289408
ITGAV	NM_002210
PMS1	NM_001321049
PMS1	NM_001321046
PMS1	NM_001321045
PMS1	NM_001321048
PMS1	NM_001321047
PMS1	NM_001321051
DIRC1	NR_161166
ANKRD44	NM_001367495
ANKRD44	NM_001367496
ANKRD44	NM_001367497
ANKRD44	NR_160034
ANKRD44	NM_153697
ANKRD44	NM_001195144
ABI2	NM_001282925
PARD3B	NM_057177
METTL21A	NM_001127395
PARD3B	NM_205863
METTL21A	NM_145280
PARD3B	NM_001302769
METTL21A	NM_001308021
METTL21A	NM_001330131
METTL21A	NM_001330135
METTL21A	NM_001330132
LOC101927960	NR_136588
ADAM23	NM_003812
METTL21A	NM_001330137
METTL21A	NM_001330136
METTL21A	NM_001330134
METTL21A	NM_001330133
PARD3B	NM_152526
METTL21A	NM_001330130
ABI2	NM_001282926
ABI2	NM_001282927
ABI2	NM_001282932
ABI2	NM_001375662
ABI2	NM_001375663
ABI2	NM_001375664
ABI2	NM_001375665
ABI2	NM_001375666
ABI2	NM_001375667
ABI2	NM_001375668
ABI2	NM_001375669
ABI2	NM_001375671
ABI2	NM_001375672
ABI2	NM_001375673
ABI2	NM_001375674
ABI2	NM_001375675
ABI2	NM_001375676
ABI2	NM_001375677
ABI2	NM_001375678
ABI2	NM_001375679
ABI2	NM_001375680
ABI2	NM_001375681
ABI2	NM_001375682
ABI2	NM_001375683
ABI2	NM_001375684
ABI2	NM_001375685
ABI2	NM_001375686
ABI2	NM_001375687
ABI2	NM_001375688
ABI2	NM_001375689
ABI2	NM_001375690
ABI2	NM_001375691
ABI2	NM_001375692
ABI2	NM_001375693
ABI2	NM_001375695
ABI2	NM_001375696
ABI2	NM_001375698
ABI2	NM_001375699
ABI2	NM_001375702
ABI2	NM_001375704
ABI2	NM_001375706
ABI2	NM_001375707
ABI2	NM_001375708
ABI2	NM_001375709
ABI2	NM_001375710
ABI2	NM_001375711
ABI2	NM_001375712
ABI2	NM_001375714
ABI2	NM_001375717
ABI2	NM_001375719
ABI2	NM_001375721
ABI2	NM_001375722
ABI2	NM_001375723
ABI2	NM_001375724
ABI2	NM_001375725
ABI2	NM_001375726
ABI2	NM_001375727
ABI2	NM_001375728
ABI2	NM_001375729
ABI2	NM_001375730
ABI2	NM_001375731
ABI2	NM_001375732
ABI2	NM_001375733
ABI2	NM_001375734
ABI2	NM_001375735
ABI2	NM_001375736
ABI2	NM_001375737
ABI2	NM_001375738
ABI2	NM_001375739
ABI2	NM_001375740
ABI2	NM_001375741
ABI2	NM_001375742
ABI2	NM_001375743
ABI2	NM_001375744
ABI2	NM_001375745
ABI2	NM_001375746
ABI2	NM_001375747
ABI2	NM_001375748
ABI2	NM_001375749
ABI2	NM_001375750
ABI2	NM_001375751
ABI2	NM_001375752
ABI2	NM_001375753
ABI2	NM_001375754
ABI2	NM_001375755
ABI2	NM_005759
ABI2	NR_164704
ABI2	NR_164705
ABI2	NR_164706
ABI2	NR_164707
ABI2	NR_164708
ABI2	NR_164709
ABI2	NR_164710
ABI2	NR_164711
ABI2	NR_164712
ABI2	NR_164713
ABI2	NR_164714
ABI2	NR_164715
ABI2	NR_164716
ABI2	NR_164717
ABI2	NR_164718
ABI2	NM_001375670
ABCA12	NM_173076
ERBB4	NM_005235
SPAG16	NR_047660
SPAG16	NM_024532
ABCA12	NM_015657
ABCA12	NR_103740
SPAG16	NR_047659
SNHG31	NR_110292
ERBB4	NM_001042599
MREG	NM_018000
MREG	NM_001372188
MREG	NM_001372190
MREG	NM_001372189
PAX3	NM_001127366
FAM124B	NM_001122779
PAX3	NM_181459
PAX3	NM_181460
PAX3	NM_181458
PAX3	NM_181457
PAX3	NM_181461
PAX3	NM_000438
NYAP2	NM_020864
PAX3	NM_013942
FAM124B	NM_024785
NYAP2	NM_001371273
NHEJ1	NM_001377498
NHEJ1	NM_001377499
NHEJ1	NM_024782
NHEJ1	NR_165304
AGFG1	NM_004504
PDE6D	NM_002601
AGFG1	NM_001135189
DNER	NM_139072
GIGYF2	NR_103492
AGFG1	NM_001135187
GIGYF2	NM_001103147
LINC01807	NR_151716
GIGYF2	NM_001103146
PDE6D	NM_001291018
GIGYF2	NM_001103148
MROH2A	NM_001367507
GIGYF2	NM_015575
AGFG1	NM_001135188
UBE2F	NM_001278305
PPP1R7	NM_001282409
PPP1R7	NM_001282412
UBE2F	NM_001278306
AGAP1	NM_014914
UBE2F	NR_103499
UBE2F	NR_103498
UBE2F	NR_103500
HDAC4	NM_006037
UBE2F-SCLY	NR_037904
UBE2F	NM_001278308
UBE2F	NM_001278307
AGAP1	NM_001037131
UBE2F	NM_080678
PPP1R7	NM_001282413
PPP1R7	NM_002712
SH3YL1	NM_001282682
SH3YL1	NM_015677
LINC01115	NR_033880
LINC01115	NR_111963
SH3YL1	NR_104224
SH3YL1	NR_104223
SH3YL1	NR_104226
SH3YL1	NR_104225
SH3YL1	NM_001159597
TPO	NM_001206744
TPO	NM_175719
PXDN	NM_012293
TPO	NM_001206745
TPO	NM_000547
TPO	NM_175721
TPO	NM_175722
LINC01250	NR_110228
DCDC2C	NM_001365580
TRAPPC12	NM_016030
TRAPPC12	NM_001321102
EIPR1	NM_001330530
ALLC	NM_018436
EIPR1	NM_001330531
DCDC2C	NM_001287444
EIPR1	NM_003310
RNASEH1	NR_148534
RNASEH1	NR_148532
LINC01248	NR_110580
RNF144A	NM_001349181
RNF144A	NM_001349186
RNF144A	NM_001349185
RNF144A	NM_014746
RNF144A	NM_001349184
RNF144A	NM_001349183
